team number,nickname,rookie year,full name,Nasa?,city,region,country,motto,# of events,event codes,event names
3562,LiveWire,2011,Idaho State University Robotics Program / Monsanto / Basic American Foods / Schweitzer Engineering Laboratory / Alston T-Shirt Printing & Embroidery / Nostalgia Motors / Angle & Associates & Bannock County 4H ,,Pocatello,Idaho,USA,FIRST Things First: Building a Team. Building a Community. For all Ages.,2,"['2016carv', '2016idbo']","['Carver Division', 'Idaho Regional']"
3566,Gone Fishin',2011,EMC Code / Cornell Cookson / BOSE / Raytheon / Globant / Novotechnik & St Mark's School,,Southborough,Massachusetts,USA,Gone Fishin,2,"['2016marea', '2016nhgrs']","['NE District - North Shore Event', 'NE District - Granite State Event']"
3568,RoboEagles,2011,FCA Foundation & Linden High School,,Linden,Michigan,USA,Keep it Simple,2,"['2016mihow', '2016miket']","['FIM District - Howell Event', 'FIM District - Kettering University Event #1']"
3570,Pheonix,2011,"IAC-Alma / Gratiot Community Foundation / Anesthesia Associates / Garr Tool / Greater Gratiot  Development / Plasti-Paint, Inc / Alma Products / Agro-Culture Liquid Fertilizer & Alma Senior High School",,Alma,Michigan,USA,Make it move,2,"['2016mimid', '2016mista']","['FIM District - Midland Event', 'FIM District - Standish-Sterling Event']"
3571,Milton Mustangs,2011,State Farm/Halton District School Board/UA Hamilton Local 67/Upstream Works Inc. & Milton District High School,,Milton,Ontario,Canada,,1,['2016onwi'],['Windsor Essex Great Lakes Regional']
3572,Wavelength,2011,NASA / United Technologies Corporation / State of Michigan / UTC - Pratt & Whitney Component Solutions / Dean and Susan Davis / Possibilitech / Basse's Chassis & Mona Shores High School,NASA,Norton Shores,Michigan,USA,"Work hard, dream big, and make it happen.",2,"['2016miken', '2016miwmi']","['FIM District - East Kentwood Event', 'FIM District - West Michigan Event']"
3573,The Ohms,2011,AT&T / Dell & Rockdale County High School,,Conyers,Georgia,USA,,2,"['2016gadal', '2016gaken']","['PCH District - Dalton Event', 'PCH District - Kennesaw Event']"
3574,HIGH TEKERZ,2011,The Boeing Company / VISA / NASA / OSPI Grant / OMAX / SPEEA / Masonic Historical Delta-White Center Lodge #172 & 4-H 3574 High Tekerz & Highline High School,NASA,Burien,Washington,USA,Full S.T.E.A.M. Ahead,5,"['2016new', '2016orphi', '2016pncmp', '2016waahs', '2016wamou']","['Newton Division', 'PNW District - Philomath Event', 'Pacific Northwest District Championship sponsored by Autodesk', 'PNW District - Auburn Event', 'PNW District - Mount Vernon Event']"
3575,OK  Aggies,2011,Okanogan FFA Alumni / Okanogan Omak Rotary / Hamilton Youth Foundation of Washington Tractor / Oxarc / Bezos Family Foundation / Argosy Foundation / North 40 Outfitters / Office of the Superintendent of Public Instruction / Microsoft  / Okanogan-Omak Kiwanis & Okanogan High School & Okanogan FFA,,Okanogan,Washington,USA,All things are difficult before they become easy,2,"['2016waell', '2016waspo']","['PNW District - Central Washington University Event', 'PNW District - West Valley Event']"
3576,Clover Park High School Warriors,2011,OSPI & Clover Park High School & Clover Park High School,,Lakewood,Washington,USA,,2,"['2016waahs', '2016waamv']","['PNW District - Auburn Event', 'PNW District - Auburn Mountainview Event']"
3577,Saint's Robotics,2011,Notre Dame Preparatory,,Scottsdale,Arizona,USA,Saints - All In,2,"['2016azfl', '2016nvlv']","['Arizona North Regional', 'Las Vegas Regional']"
3581,Sumdroids,2011,Caterpillar / Kimberly-Clark / KIA & Thinc Academy,,Lagrange,Georgia,USA,The sum is greater than the parts.,3,"['2016gaalb', '2016gacmp', '2016gacol']","['PCH District - Albany Event', 'Peachtree District State Championship', 'PCH District - Columbus Event']"
3585,Rogue Robots of 4-H,2011,Red River Technology Foundation/CrownPoint Cabinetry/New Hampshire 4-H Foundation/CRREL/BAE Systems/ANSYS & Sullivan County Cooperative Extension,,Charlestown,New Hampshire,USA,"Yeah, that'll work.",2,"['2016melew', '2016nhgrs']","['NE District - Pine Tree Event', 'NE District - Granite State Event']"
3586,Pride in the Tribe-Caveman Robotics,2011,OSPI/Bezo's Family Foundation/Reardan FFA Boosters/Hydrafab/Fistacups Java & Reardan High School & Reardan FFA,,Reardan,Washington,USA,Pride in the Tribe-Caveman Robotics,2,"['2016waell', '2016waspo']","['PNW District - Central Washington University Event', 'PNW District - West Valley Event']"
3588,the Talon,2011,Precor Incorporated/The Boeing Company/Red Dot/Washington Machine Works/OSPI/RSD CTE & Lindbergh Senior High School,,Renton,Washington,USA,You are the Eagle (ca-cah!),2,"['2016waahs', '2016waell']","['PNW District - Auburn Event', 'PNW District - Central Washington University Event']"
3591,"Wild WarBots ""WWB""",2011,Westerville Wild Warbots / Flood Heliarc / AEP / NASA / Dream Seats / METSS / Skate America / Dragon E's Black Belt Academy / Columbus Machine Works / Make it Fit Foundation / Kixson Creative / Boyd's Tire & Service & Westerville Central High School & Westerville-North High School & Westerville-South High School,NASA,Westerville,Ohio,USA,,1,['2016ohcl'],['Buckeye Regional']
3593,Invictus,2011,American Welding Society / Artesian Cancer Centers / Boeing / DoDSTEM / Oral Roberts University & Victory Christian School,,Tulsa,Oklahoma,USA,,2,"['2016arlr', '2016okok']","['Arkansas Rock City Regional', 'Oklahoma Regional ']"
3596,Rocket Robotics,2011,Caterpillar / Rotary Club of Mitchell Field / Dassault Systems SolidWorks Corp. & South Milwaukee High,,South Milwaukee,Wisconsin,USA,"It's Not Rocket Science, It's Rocket Robotics!",1,['2016wimi'],['Wisconsin Regional']
3597,Robo-Rangers,2011,United Technologies / Pratt & Whitney / Robotic Institute of Maine / National Defense Education Program / Portsmouth Naval Shipyard & Robert W Traip Academy,,Kittery,Maine,USA,Life begins at the end of your comfort zone,2,"['2016melew', '2016nhdur']","['NE District - Pine Tree Event', 'NE District - UNH Event']"
3598,SEStematic Eliminators,2011,SES Robotics/Sacramento City Unified School District Career Technical Preparation Department/School of Engineering and Sciences & Sch of Engineering & Sciences,,Sacramento,California,USA,,2,"['2016azfl', '2016cada']","['Arizona North Regional', 'Sacramento Regional']"
3600,Clockwork,2011,4-H/Madison Machine Shop/LaneConradsCorp & Morgan County High School,,Madison,Georgia,USA,Like Clockwork,4,"['2016carv', '2016gaalb', '2016gacmp', '2016gaken']","['Carver Division', 'PCH District - Albany Event', 'Peachtree District State Championship', 'PCH District - Kennesaw Event']"
3602,RoboMos,2011,Engineered Machined Products Inc / Community Foundation for Delta County / GFWC & Escanaba Area Public High School,,Escanaba,Michigan,USA,,4,"['2016arc', '2016micmp', '2016miesc', '2016mista']","['Archimedes Division', 'Michigan State Championship', 'FIM District - Escanaba Event', 'FIM District - Standish-Sterling Event']"
3603,Cyber Coyotes,2011,TransCanada Corporation / Reed City Tool / H&R Screw / Logic Plus / Ventra Plastics & Reed City High School,,Reed City,Michigan,USA,,2,"['2016mista', '2016miwmi']","['FIM District - Standish-Sterling Event', 'FIM District - West Michigan Event']"
3604,Goon Squad,2011,General Motors / Ford Motor Company / DADARA / Search Plus International / McDonalds / RCO Engineering & Woodhaven High School,,Brownstown,Michigan,USA,,4,"['2016hop', '2016mibro', '2016micmp', '2016misou']","['Hopper Division', 'FIM District - Woodhaven Event', 'Michigan State Championship', 'FIM District - Southfield Event']"
3606,BearMetal,2011,Catholic High School,,Baton Rouge,Louisiana,USA,,1,['2016lake'],['Bayou Regional']
3609,Duct Tape Dragons,2011,2015 FRC Hardship Grant/Robotics Institute of Maine/Coast City Comics & Boys and Girls Club Portland,,Portland,Maine,USA,Should be fine,2,"['2016melew', '2016nhgrs']","['NE District - Pine Tree Event', 'NE District - Granite State Event']"
3610,Islanders,2011,SRT/Medtronic & DeLaSalle High School,,Minneapolis,Minnesota,USA,,1,['2016mnmi2'],['Minnesota North Star Regional']
3612,GearHogs,2011,Rockline Industries / ROKU & Springdale School District,,Springdale,Arkansas,USA,,2,"['2016arlr', '2016okok']","['Arkansas Rock City Regional', 'Oklahoma Regional ']"
3615,Reavers,2011,C. K. Mcclatchy High,,Sacramento,California,USA,,1,['2016cada'],['Sacramento Regional']
3616,Team Phenomena ,2011,"Comeaux Academic Enrichment Program / Cargill Salt / Cargill Deicing Technology / ISA Lafayette / CAD Solutions, Inc. / SPE International Evangeline Section / Tefsco Manufacturing, LLC / TEFSCO Automation & Controls / Frank's International / Begnaud Manufacturing / VERTECO / Manchac Technologies, LLC / InventureWorks / D3 Technologies / Sign Design Pros & O. Comeaux High School & Lafayette High School & Home School",,Lafayette,Louisiana,USA,"We came, we built, we conquered!",2,"['2016lake', '2016txho']","['Bayou Regional', 'Lone Star Regional']"
3617,Cold Logic,2011,"Michigan Department of Education / Eagle Mine / Marquette Breakfast Rotary / Marquette County Community Foundation / Marquette County Youth Advisory Committee / Marquette Board of Light and Power / Marquette Rotary / Exchange Club Of Marquette / Subway / Superior Dental, Carla Skaates, D.D.S. / Mandel / Northern Michigan University  & Marquette Senior High School",,Marquette,Michigan,USA,,2,"['2016miesc', '2016milsu']","['FIM District - Escanaba Event', 'FIM District - Lake Superior State University Event']"
3618,Petoskey Paladins,2011,"Petoskey Harbor Springs Community Foundation / Noon Rotary / DTE Foundation / DCL / Bear River Electric / Circuit Controls Corp.  / Petoskey Plastics / Grannis Farley of Raymond James / Kilwins / Great Lakes Oral and Maxillofacial Surgery, P.C.  / Cosmetic Laser Surgery / Daifuku Webb & Petoskey High School",,Petoskey,Michigan,USA,Engineering the Future ,5,"['2016cur', '2016micmp', '2016milsu', '2016mimid', '2016mista']","['Curie Division', 'Michigan State Championship', 'FIM District - Lake Superior State University Event', 'FIM District - Midland Event', 'FIM District - Standish-Sterling Event']"
3619,Blackhawks,2011,Birmingham Rotary Club/DEPSA ECE/Michigan Engineering Zone/Google/Ford Motor Company/Toyota/McNaughton-McKay Electric Company/The Berg Family/DADARA & Edison Public School Academy,,Detroit,Michigan,USA,Overwhleming Brain Power!,2,"['2016mibro', '2016micen']","['FIM District - Woodhaven Event', 'FIM District - Center Line Event']"
3620,Average Joes,2011,"Bosch / Whirlpool Corporation / St. Joseph Public Schools Foundation / Kay Manufacturing Co. / Art & Image / Eagle Technologies Group / Liberty Steel / JR Automation Technologies / Lions Club of St. Joseph / Phyco Tech, Inc. / Hanson Mold & St. Joseph High School",,St. Joseph,Michigan,USA,,4,"['2016micmp', '2016miken', '2016misjo', '2016new']","['Michigan State Championship', 'FIM District - East Kentwood Event', 'FIM District - St. Joseph Event', 'Newton Division']"
3623,Terror Bots,2011,Boys & Girls Club of Fitchburg and Leominster/Boston Scientific /COMCAST/DCU/TPE Solutions/TurboCare/Unitil/BIO-Techne & Fitchburg and Leominster,,Leominster,Massachusetts,USA,,2,"['2016mabos', '2016mawor']","['NE District - Boston Event', 'NE District - WPI Event']"
3624,ThunderColts,2011,"Half Hollow Hills Central School District ThunderColts / HHH Robotics, Inc. & Half Hollow Hills High School West & Half Hollow Hills High School East",,Dix Hills,New York,USA,,2,"['2016nyli', '2016nytr']","['SBPLI Long Island Regional', 'New York Tech Valley Regional']"
3627,The Jungle Robotics,2011,Voalte/Applebees/Tervis Tumbler/North Port Masonic Lodge/Suncoast Technical College & Suncoast Polytechnical High School & the Out-Of-Door Academy,,Sarasota,Florida,USA,,2,"['2016flor', '2016flwp']","['Orlando Regional', 'South Florida Regional ']"
3630,The Stampede,2011,Breck School & Breck School,,Golden Valley,Minnesota,USA,Horsepower!,3,"['2016arc', '2016iacf', '2016mnmi']","['Archimedes Division', 'Iowa Regional', 'Minnesota 10000 Lakes Regional']"
3632,D-Techs,2011,Detroit Public Schools/State of Michigan/SRT/University of Michigan/Ford Motor Company/Google/Toyota/Mcnaughton-McKay Electric Company/The Berg Family/DADARA & Detroit School of Arts,,Detroit,Michigan,USA,No limits,2,"['2016micen', '2016misou']","['FIM District - Center Line Event', 'FIM District - Southfield Event']"
3633,Catalyst,2011,"Edwards Manufacturing / Innovance, Inc. / Interstate Molding and Manufacturing / Medtronics & Albert Lea Senior High",,Albert Lea,Minnesota,USA,,2,"['2016iacf', '2016mnmi2']","['Iowa Regional', 'Minnesota North Star Regional']"
3634,Spark City,2011,Bridgeport Public Schools / Schick Wilkinson Sword / Connecticut Innovations & Harding High School,,Bridgeport,Connecticut,USA,,2,"['2016cthar', '2016ctwat']","['NE District - Hartford Event', 'NE District - Waterbury Event']"
3635,Houston County Alliance,2011,Boeing/Honeywell/Dixie Crows & Veterans High School & Warner Robins High School & Northside High School & Houston County High School & Perry High School & Houston County Career Academy,,Warner Robins,Georgia,USA,,2,"['2016gaalb', '2016gacol']","['PCH District - Albany Event', 'PCH District - Columbus Event']"
3636,Generals,2011,The Boeing Company/State of Oregon/SPEEA/Intel/Autodesk & Grant High School,,Portland,Oregon,USA,,2,"['2016orore', '2016orphi']","['PNW District - Clackamas Academy of Industrial Science Event', 'PNW District - Philomath Event']"
3637,The Daleks,2011,3M/Underwriters Laboratories/Google & Hunterdon Central High,,Flemington,New Jersey,USA,Cooperate!,4,"['2016gal', '2016mrcmp', '2016njfla', '2016njski']","['Galileo Division', 'Mid-Atlantic Robotics District Championship', 'MAR District - Mt. Olive Event', 'MAR District - Montgomery Event']"
3641,The Flying Toasters,2011,Extreme Machine / Magna / State of Michigan / FCA Foundation / FORD / Pratt Miller / TRW / Cybernet Systems Corp. / South Lyon Community Schools / Superb Fabricating / Spectrum Automation & South Lyon East High School & South Lyon High School,,South Lyon,Michigan,USA,"To inspire and intrigue, unite and achieve greatness",4,"['2016cur', '2016miann', '2016micmp', '2016miliv']","['Curie Division', 'FIM District - Ann Arbor Skyline Event', 'Michigan State Championship', 'FIM District - Livonia Event']"
3646,Integra,2011,Fikret Yuksel Foundation / City Tourism / Bahcesehir University / Gurkaya Machine / Alkilic Foundation / Rifsa Textile / Dogus Kalip / Basaksehir Municipality / Bahcesehir Colleges & Bahcesehir High School for Science and Technology,,Istanbul,Istanbul,Turkey,Yellow for a shiny future's sun,2,"['2016hop', '2016nyny']","['Hopper Division', 'New York City Regional']"
3647,Millennium Falcons,2011,Torrey Pines High School Foundation / Novo Engineering / Qualcom / Nordson & Torrey Pines High,,San Diego,California,USA,,1,['2016casd'],['San Diego Regional']
3648,Sparta Robotica,2011,Comcast & Thomas Jefferson High School,,Denver,Colorado,USA,,1,['2016code'],['Colorado Regional']
3650,RoboRaptors,2011,Charles County Public Schools & Maurice J. Mcdonough High School & La Plata High School & North Point High School,,Waldorf,Maryland,USA,,2,"['2016mdbet', '2016mdblr']","['CHS District - Greater DC Event', 'CHS District - Northern Maryland Event']"
3653,BotCats,2011,"Motorola Solutions Foundation/Publix/Florida Power and Light/Chick-fil-A/Joshen Paper and Packaging/Vormittag Associates, Inc & West Broward High School",,Pembroke Pines,Florida,USA,It's bot time!,2,"['2016flor', '2016flwp']","['Orlando Regional', 'South Florida Regional ']"
3654,TechTigers,2011,UTC / Alcoa Howmet / Hobson Motzer / Pitney Bowes / O'Keefe Controls / Yieldbot / Chapman Manufacturing Co. / Travelers / Bently Systems / Swanny Seirup / 4-H & Mercy High School,,Middletown,Connecticut,USA,Building the robots and women of tomorrow.,3,"['2016cthar', '2016ctsc', '2016ctwat']","['NE District - Hartford Event', 'Connecticut State Championship', 'NE District - Waterbury Event']"
3655,Tractor Technicians,2011,The Dart Foundation/Dart Container/Mason Optimist & Mason High School,,Mason,Michigan,USA,,4,"['2016micmp', '2016milan', '2016miwat', '2016tes']","['Michigan State Championship', 'FIM District - Lansing Event', 'FIM District - Waterford Event', 'Tesla Division']"
3656,Dreadbots,2011,"Ford Motor Company / Maker Works / Dexter Research Center, Inc. / Hatch Stamping Company / Terumo Cardiovascular Systems Corp. / Dexter A & W Restaurant / Michigan Aerospace / ESI / Dexter Builders / Dexter Lions Club / Dexter Family Dentistry, P.C. / Hackney Ace Hardware / Dapco / Chelsea State Bank / Natalie Henke, DDS / Boullion Sales & Dexter High School",,Dexter,Michigan,USA,,4,"['2016cur', '2016micmp', '2016miket', '2016milak']","['Curie Division', 'Michigan State Championship', 'FIM District - Kettering University Event #1', 'FIM District - Lakeview Event']"
3658,Robo - Beavers,2011,jcpenney/Tenneco/John Seppanen/King Jewelers/Rotary Club of Battle Creek/Harper Creek Optimist Club/Fox's Pizza/Johnson Controls & Harper Creek High School,,Battle Creek,Michigan,USA,"""One way to keep momentum going is to constantly have greater goals.""",2,"['2016milak', '2016misou']","['FIM District - Lakeview Event', 'FIM District - Southfield Event']"
3660,LIGHTSABERS,2011,DOD STEM / Boeing / Northrop Grumman & Home School,,Oklahoma City,Oklahoma,USA,"We have not failed, we now know 10,000 things not to do. ",1,['2016okok'],['Oklahoma Regional ']
3661,RoboWolves,2011,"Southern Fabricators, Inc & Anson County 4-H & Anson New Technology School",,Wadesboro,North Carolina,USA,,3,"['2016ncbui', '2016nccmp', '2016ncral']","['NC District - Campbell University/Johnston Community College Event', 'NC FIRST Robotics State Championship', 'NC District - Wake County Event']"
3663,CPR - Cedar Park Robotics,2011,"The Boeing Company/Team Nelson Earthwork and Utilities/The Mindy Group, LLC/Nimble Storage/Inside & Out Renovation, Inc./SPEEA/Precision Images & Cedar Park Christian Schools",,Bothell,Washington,USA,Bringing Robotics to Life!,5,"['2016new', '2016pncmp', '2016waamv', '2016wamou', '2016wasno']","['Newton Division', 'Pacific Northwest District Championship sponsored by Autodesk', 'PNW District - Auburn Mountainview Event', 'PNW District - Mount Vernon Event', 'PNW District - Glacier Peak Event']"
3666,Bolton Bear Bots,2011,Argosy  / Igloo Air / Boise Cascade / Louisiana Promotions / Craig Investments / Premier Urgent Care / Crest Industries / Aucoin Family & Bolton High School,,Alexandria,Louisiana,USA,Win honor and win fame,1,['2016lake'],['Bayou Regional']
3667,Mecanum Knights,2011,Marshall E. Campbell Co. / Society of Women Engineers / Port Huron Area School  District Horizons 21st Century Community Learning Centers / Cargill Salt / P.J. Wallbank Springs / McLaren Port Huron / Huron Construction Services / Suburban Bolt / BioPro - Biologically Oriented Protheses / Arrowhead Automation LLC / The James C. Acheson Foundation / Barch Designs & Port Huron Northern High School & Port Huron High School,,Port Huron,Michigan,USA,"""Figure it out""",2,"['2016mimar', '2016miwat']","['FIM District - Marysville Event', 'FIM District - Waterford Event']"
3668,TroBots,2011,Delphi / State of Michigan / Durr / Thomson Reuters / Lance and Nola Shew / V Converter / RheTech / SouthLyonMathTutor@gmail.com & Whitmore Lake High School,,Whitmore Lake,Michigan,USA,,3,"['2016micmp', '2016mihow', '2016misou']","['Michigan State Championship', 'FIM District - Howell Event', 'FIM District - Southfield Event']"
3669,RoboKnights,2011,Ram Mechanical & Ripon Christian,,Ripon,California,USA,Keep the knives in the freezer!,2,"['2016azfl', '2016cada']","['Arizona North Regional', 'Sacramento Regional']"
3673,C.Y.B.O.R.G. Seagulls,2011,Daimler Trucks North America / Oregon Department of Education / Boeing / Tom Briggs / Seaside Public Schools / Wells Fargo / Pacific Power Foundation / Autodesk / 3 Course Challenge Cross Country Race / City of Cannon Beach / Martin Hospitality / Ace Hardware / Seaside Tsunami Amateur Radio Society / Tony Vandershule / Freedom Northwest / Halliburton / Seaside Lazerquick / Clatsop Community Bank / Sign One / Sam's Seaside Cafe / Kiwi Glass / White's Sheet Metal and Heating / Bank of the Pacific / TLC-Fibre Credit Union & Seaside High School & Seaside High School,,Seaside,Oregon,USA,creative young brains observing and redefining greatness,2,"['2016orore', '2016orwil']","['PNW District - Clackamas Academy of Industrial Science Event', 'PNW District - Wilsonville Event']"
3674,4-H Clover Bots,2011,The Boeing Company & Team 3674 4-H Clover Bots,,Battle Ground,Washington,USA,,3,"['2016orore', '2016orwil', '2016pncmp']","['PNW District - Clackamas Academy of Industrial Science Event', 'PNW District - Wilsonville Event', 'Pacific Northwest District Championship sponsored by Autodesk']"
3676,Warrior Robotics,2011,Lockheed Martin/Mouser Electronics/Texas Workforce Commission & Martin H S,,Arlington,Texas,USA,,1,['2016txda'],['Dallas Regional']
3679,rattlers,2011,Texas Workforce Commission/FIRST in Texas & San Marcos H S,,San Marcos,Texas,USA,"""We don't make keys.""",1,['2016txsa'],['Alamo Regional sponsored by Rackspace Hosting']
3680,Elemental Dragons,2011,Iredell 4-H / SAVElectronics / GATES & Iredell 4-H Robotics & Iredell-Statesville Visual & P & Collaborative College of Techn,,Statesville,North Carolina,USA,Elemental Dragons build STEAM,3,"['2016ncash', '2016nccmp', '2016ncmcl']","['NC District - UNC Asheville Event', 'NC FIRST Robotics State Championship', 'NC District - Guilford County Event']"
3681,Robo-Raiders,2011,Raytheon/F5 Networks/OSPI/Nathan Hale Foundation/SPEEA & Nathan Hale High School,,Seattle,Washington,USA,,2,"['2016wamou', '2016wasno']","['PNW District - Mount Vernon Event', 'PNW District - Glacier Peak Event']"
3683,Team Dave,2011,Infinite Potential / Kik / Melitron / Communitech & St. David Catholic Secondary School,,Waterloo,Ontario,Canada,,3,"['2016gal', '2016onto2', '2016onwa']","['Galileo Division', 'Greater Toronto Central Regional', 'Waterloo Regional ']"
3684,Electric Eagles,2011,The Boeing Company / Google & Cleveland High School,,Seattle,Washington,USA,,2,"['2016waahs', '2016wasno']","['PNW District - Auburn Event', 'PNW District - Glacier Peak Event']"
3688,Norsemen,2011,Suttons Bay Flotilla-Community First / Northern Building Supply / Sherwood Manufacturing Co. / Juice Gear / Electro Optics Technology / Rick Simonton-Merrill Lynch / Insight Optometry / Maureen Penfold - ReMax / Dargaworks / Suttons Bay Leelanau Rotary Club / Martinson Funeral Home / Suttons Bay Schools Fund Advisory Board / State of Michigan / Enerdyne & Suttons Bay Senior High School,,Suttons Bay,Michigan,USA,,4,"['2016cars', '2016micmp', '2016misjo', '2016mitvc']","['Carson Division', 'Michigan State Championship', 'FIM District - St. Joseph Event', 'FIM District - Traverse City Event']"
3691,RoboRaiders,2011,Granite Equity Partners / Allflex Inc. / Multek / Mr. JST Technology Consulting / Bamco Inc. / District Energy St. Paul / Northfield Healthy Community Initiative / General Dynamics / Medtronic / Soderlund Family / Kathleen Vondrasek / Carleton College / JBT Foodtech & Northfield Senior High,,Northfield,Minnesota,USA,,1,['2016mnmi2'],['Minnesota North Star Regional']
3692,Rock N' Robots,2011,Prent Thermoform Plastic Packaging / School District of Janesville / Automation Solutions of America / Pierson Products / Clinton Aluminum / Blackhawk Technical College / University of Wisconsin Rock County / University of Wisconsin Platteville / TheCreeds.Net / Jay's Big Rolls / Rock County Robotics Club & Parker High & Craig High & Clinton High,,Janesville,Wisconsin,USA,Rock N' Robots,2,"['2016mndu2', '2016wimi']","['Northern Lights Regional', 'Wisconsin Regional']"
3693,GearHead Pirates,2011,Bezos Family Foundation/Leisure Concepts Incorportated/NASA/Autodesk & Rogers High School,NASA,Spokane,Washington,USA,,2,"['2016waell', '2016waspo']","['PNW District - Central Washington University Event', 'PNW District - West Valley Event']"
3694,Warbotz,2011,North Atlanta High School Foundation / Gerding Collaborative / The Cruise Authority / HopArch LLC / Women in Technology / Gate 6 Solutions / AUDH Americas / Atlanta Public Schools / Kennesaw State University / Art Plumbing Contractors & North Atlanta High School & North Atlanta High School,,Atlanta,Georgia,USA,Challenge Accepted!,2,"['2016gadal', '2016gaken']","['PCH District - Dalton Event', 'PCH District - Kennesaw Event']"
3695,Foximus Prime,2011,Pentair / Navistar & Yorkville High School,,Yorkville,Illinois,USA,Go Get The Kids In The Corner!,1,['2016ilch'],['Midwest Regional']
3700,The Metalling Kids,2011,Rio Hondo ISD / First in Texas / Texas Workforce Commission & Rio Hondo H S,,Rio Hondo,Texas,USA,"When in doubt, right click!",1,['2016txsa'],['Alamo Regional sponsored by Rackspace Hosting']
3704,Robosapiens,2011,Caterpillar-Solar Turbines/Qualcomm & Sweetwater High,,National City,California,USA,Puedes? ,1,['2016casd'],['San Diego Regional']
3705,Arrowbots,2011,AFA Systems / SEW-Eurodrive / General Motors of Canada / SpeakUp & Fletcher's Meadow Secondary School & Fletcher's Meadow Secondary School,,Brampton,Ontario,Canada,,1,['2016onto2'],['Greater Toronto Central Regional']
3707,Brighton TechnoDogs,2011,General Motors PG / Special T's Packaging / Hitachi / Ford / Lingenfelter / Conely Auto / Niswander Environmental / Trescal / Michigan & Brighton High School,,Brighton,Michigan,USA,Byte Deep into Technology,3,"['2016micmp', '2016mihow', '2016mike2']","['Michigan State Championship', 'FIM District - Howell Event', 'FIM District - Kettering University Event #2']"
3709,RTC Megalodons,2011,Genworth Financial & Richmond Technical Center,,Richmond,Virginia,USA,Taking A Bite Out Of The Competition!,1,['2016vados'],['CHS District - Central Virginia Event']
3710,FSS Cyber Falcons,2011,Novelis  / Limestone Learning Foundation  / Queen's University / Transformix Engineering / Haakon Industries & Frontenac Secondary School,,Kingston,Ontario,Canada,,1,['2016onto'],['Greater Toronto East Regional ']
3711,Iron Mustang,2011,The Boeing Company / Nelson Brothers Engineering / Little Mountain Hardware / Stude Acres / Terry Schmid Gravel / Google / Microsoft / Prigel Machine / JoeScan / OSPI & Trout Lake School,,Trout Lake,Washington,USA,Do great things,3,"['2016orwil', '2016pncmp', '2016waell']","['PNW District - Wilsonville Event', 'Pacific Northwest District Championship sponsored by Autodesk', 'PNW District - Central Washington University Event']"
3712,RoboCats,2011,Union School District / Dennis Clark Welding / State of Oregon -ODE / Black Distributing / Daimler Education in Motion / Go- STEM Hub & Union High School,,Union,Oregon,USA,,2,"['2016waell', '2016waspo']","['PNW District - Central Washington University Event', 'PNW District - West Valley Event']"
3714,SOAR (Students of Applied Robotics),2011,Charles Herbert Flowers High,,Springdale,Maryland,USA,Team work makes the dream work,1,['2016mdedg'],['CHS District - Central Maryland Event']
3718,Junkyard Battalion,2011,United Technologies/Stanley-Black & Decker & E. C. Goodwin Technical High School,,New Britain,Connecticut,USA,We who are about to compete salute you!,2,"['2016cthar', '2016ctwat']","['NE District - Hartford Event', 'NE District - Waterbury Event']"
3719,STEM Whalers ,2011,Dominion Millstone Power Station & Science and Technology Magnet High School of Southeastern Connecticut & New London High School,,New London,Connecticut,USA,,3,"['2016ctsc', '2016ctwat', '2016ripro']","['Connecticut State Championship', 'NE District - Waterbury Event', 'NE District - Rhode Island Event']"
3721,Charger Robotics,2011,SPAWAR (Space and Naval Warfare) Systems Center Pacific / DOD STEM / HECO (Hawaiian Electric Company) / Monsanto Fund / Leidos / Pearl City Lion's Club / Senator Clarence Nishihara / Friends of Hawaii Robotics / McDonalds of Hawaii & Pearl City High School,,Pearl CIty,Hawaii,USA,Excellence With Honor,1,['2016hiho'],['Hawaii Regional']
3723,TEKnights,2011,Southland Auto & Diesel & Kingsland Senior High,,Spring Valley,Minnesota,USA,Ignorance is Fatal,1,['2016mndu2'],['Northern Lights Regional']
3728,RoboTiger,2011,Harmony Science Academy,,Houston,Texas,USA,,1,['2016txho'],['Lone Star Regional']
3729,The Raiders,2011,"Accudyne / Lockheed Martin / Solidyn Solutions, Inc. / Deep Space Systems / Rockwell Automation / Boeing / MediaTrik & Regis Jesuit High School/Boys Division & Regis Jesuit High School Girls Div",,Aurora,Colorado,USA,Giving back,1,['2016code'],['Colorado Regional']
3734,Caxys,2011,The Boeing Company & LAKE FOREST ACADEMY,,Lake Forest,Illinois,USA,,1,['2016wimi'],['Wisconsin Regional']
3735,Klein Bots,2011,NRG Energy / Crow Corporation / Champion Fiberglass / First in Texas / Texas Workforce Commision / Sterling Structures / Hornet Appliance / Process Solutions / Steel Supply / Spring Ace Hardware & Klein ISD,,Klein,Texas,USA,We Will Make it Work,4,"['2016carv', '2016txda', '2016txho', '2016txsa']","['Carver Division', 'Dallas Regional', 'Lone Star Regional', 'Alamo Regional sponsored by Rackspace Hosting']"
